Emotion,Tweet,Emoji
fear,"Bhai, desh ke border pe aag hai aur hum yahan memes bana rahe hain? Missiles se zyada retweets. Kab sudhrenge???????",
anger,"Arrey bhai, petrol chhua, dollar badha, aur ab yeh tension? Kya yeh sab ladne se kam nahi hota? Baat karne ka mann nahin hai kya?????",
anger,"PM Modi, Imran Khan, baat karo yaar! Twitter pe filter hai, asli zindagi mein nahi. Kya bachchon ko barbaadi dekhne ka shauk hai?????",
sadness,"Imagine, Netflix chill karne ke bajaaay bunker mein dabke baithna padhe. Maa baap ki aankhon mein darr, bachchon ke chehre pe gham. Zindagi hai yeh ya saza???????",
sadness,"Suno, border pe jawan lad rahe hain aur hum yahan troll kar rahe hain. Kya unhe lagta hoga ki hum unke liye #Respect hai??????????",
anxiety,"Dollar badha, petrol chhua, aur ab yeh tension? Raat ko nind nahin aati, din mein chain nahin milta. Bhai, khushi kab wapis aayegi???????",
anxiety,"Aaj bachche PS5 nahi, peace chahte hain. Unhe yeh samajh nahi aata ki aaj ki fight unka kal ho sakta hai.??????",
shame,"Dilli mein kabab, Karachi mein biryani, Lahore mein kulfi... yaar, yeh sab toh pyaar se milte hain, na ki war se. Kya yeh apni hi culture ko barbaad karne ka khel hai???????????",
shame,"Miss World ho ya Miss Universe, sab ek hi hain - maa ki betiyaan. Toh kyun bana rahe hain apne hi betiyon ko barbaad karne ka khel???????",
guilt,"Aakhir kab tak yeh darr, kab tak yeh aansu? Kab tak yeh maatein apne bacchon ko khoyen???????",
guilt,"PM Modi, Imran Khan, haath milao yaar! Social media pe filter toh hai, asli zindagi mein nahi. Talk peace not war!??????????????",
hopelessness,"Suno, maut ek hi hai, desh anek. Aao sab milke iss duniya ko ek banayen. Na yeh na woh, sirf aman.????????",
hopelessness,"Imagine, Netflix chill karne ke bajaaay bunker mein dabke baithna padhe. Putin, Zelensky, Modi, Imran bhai, yaar, khana khana hai, gane sunna hai, larna kisko hai?????????",
frustration,"Bhai, duniya mein aag hai aur hum log Twitter pe ladai? Missiles se zyada retweets. Kab sudhrenge???????",
frustration,"Dollar badha, petrol chhua, aur ab yeh tension? Bhai, tank war dekhne se achcha hai chai pakad ke baat karna. Zindagi ek hi hai, barbaad mat karo.????????",
disgust,Kya yeh apni hi culture ko barbaad karne ka khel hai?????????????,
disgust,"Soch, border pe jawan lad rahe hain aur hum yahan troll kar rahe hain? Kya unhe lagta hoga ki hum unke liye #Respect hai?Stop hate spread peace!???????????",
grief,Kab tak yeh maatein apne bacchon ko khoyen???????,
grief,"Aakhir kab tak yeh darr, kab tak yeh aansu?Enough is enough!??????",
empathy,"Miss World ho ya Miss Universe, sab ek hi hain - maa ki betiyaan. Toh kyun bana rahe hain apne hi betiyon ko barbaad karne ka khel?Mothers Against War!????????",
empathy,"Aaj apne bachche ko khush karne ke liye PS5 nahi, peace chahte hain. Unhe yeh samajh nahi aata ki aaj ki fight unka kal ho sakta hai.??????",
compassion,"Dilli mein kabab, Karachi mein biryani, Lahore mein kulfi... yaar, yeh sab toh pyaar se milte hain, na ki war se. Food not war",
fear,"Bhai, bachche jail mein, hum retweet kar rahe hain? Kya unhe lagta hoga hum unke saath hain? #StolennInnocence ??????",
anger,"Arrey yaar, yeh bachche kya jaante hain war ke nashe mein? Unhe toh bas school aur khel chahiye. #ChildhoodRuined ??????",
anger,"PM Modi, Imran Khan, yeh bacche khelne ke bajaaay jail mein hain! Hathon mein kalash nahi, kitab dena hai unko! #EndChildDetention ??????",
sadness,"Maa baap ki aankhon mein darr, bachchon ke chehre pe gham. Yeh bachpan nahin, yeh barbaadi hai. #WarCrimes ??????",
sadness,"Imagine, bunker mein dabke baithna padhe, school ke baad. Kab hoga bachpan wapis? #LostChildhood ??????",
anxiety,"Raat ko nind nahin aati, din mein chain nahin milta. Kab hoga yeh bachpan barbaad karna band? #StolenDreams ??????",
anxiety,"Bhai, dollar badha, petrol chhua, aur ab yeh tension? Bachche PS5 nahi, peace chahte hain. #FutureDestroyed ??????",
shame,"Dilli mein kabab, Karachi mein biryani, Lahore mein kulfi... yaar, yeh sab toh pyaar se milte hain, na ki jail se. #MothersAgainstWar ??????",
shame,"Soch, border pe jawan lad rahe hain aur hum yahan troll kar rahe hain? Kya unhe lagta hoga hum unke liye #Respect hai? #EndChildSoldiers ??????",
guilt,Kab tak yeh maatein apne bacchon ko khoyen? Kab tak yeh aansu? #EnoughIsEnough ??????,
guilt,"PM Modi, Imran Khan, haath milao yaar! Zyada baat nahi, sirf bachchon ko azaad karo! #TalkPeaceNotWar ??????",
hopelessness,"Suno, maut ek hi hai, desh anek. Aao sab milke iss duniya ko ek banayen. Na yeh na woh, sirf aman. #OneWorldPeace ??????",
hopelessness,"Aaj bachche PS5 nahi, peace chahte hain. Unhe yeh samajh nahi aata ki aaj ki fight unka kal ho sakta hai. #NoMoreLostChildhood ??????",
frustration,"Bhai, duniya mein aag hai aur hum log Twitter pe ladai? Missiles se zyada retweets? Kab sudhrenge? #PeaceNow ??????",
frustration,"Dollar badha, petrol chhua, aur ab yeh tension? Bhai, tank war dekhne se achcha hai chai pakad ke baat karna. Zindagi ek hi hai, barbaad mat karo. #WarIsNotTheAnswer ????????",
disgust,Kya yeh apni hi culture ko barbaad karne ka khel hai? #shameful ??????,
disgust,"Soch, border pe jawan lad rahe hain aur hum yahan troll kar rahe hain? Kya unhe lagta hoga ki hum unke liye #Respect hai? #StopHateSpreadPeace ??????",
grief,Kab tak yeh maatein apne bacchon ko khoyen? #EndThisNightmare ??????,
grief,"Aakhir kab tak yeh darr, kab tak yeh aansu? Enough! #FreeOurChildren ??????",
empathy,"Miss World ho ya Miss Universe, sab ek hi hain - maa ki betiyan. Toh kyun bana rahe hain apne hi betiyon ko barbaad karne ka khel? #MothersAgainstWar ??????",
empathy,"Aaj apne bachche ko khush karne ke liye PS5 nahi, peace chahte hain. Unhe yeh samajh nahi aata ki aaj ki fight unka kal ho sakta hai. #GiveChildhoodBack ??????",
resilience,"Hum bachpan wapis nahi maange, sirf unka haq maange hain. School aur khel, yeh hai asli azadi. #FightForOurFuture ??????",
resilience,"Hum bachpan barbaad nahi hone denge. Hum awaaz uthaenge, khelenge, aur seedhiyan chadh ke aman tak pahunchenge. #UnbreakableHope ??????",
anger,"Arrey, yeh bachche toh bas kitein udane chahte hain, na ki missiles. Unki raas le lo, na ki unki khushiyan. #ChildhoodUnderAttack ??????",
sadness,"Kabhi socha hai, jail mein baithkar bachche kya sochte hain? Mummy ya papa ko yaad karte hain? Hum kya kar rahe hain? #LostInnocence ??????",
anxiety,"Raat ko bachchon ke sapne mein sirens bajte hain, din mein unki aankhon mein darr hai. Kab hoga yeh zulm khatam? #HauntedByWar ??????",
shame,"Hum khush hain, bachche sukhte hain. Yeh desh hai ya dhong? #shameOnUs ??????",
guilt,"Humne bachpan bachane ki kasam khayi thi, lekin hum kya kar rahe hain? Jaago, desh! #BrokenPromise ??????",
hopelessness,"Kabhi kabhi lagta hai, aman ek sapna hai. Par kabhi kabhi, bachchon ki aankhon mein dekhta hoon, toh ummeed jagti hai. #FightForTheFuture ??????",
frustration,"Bhai, retweets se bachpan nahi bachenge, baat karni hai! PM Modi, Imran Khan, yeh sun rahe ho? #TalkNotTweet ??????",
disgust,"Bachpan ke haq par yeh zulm, yeh toh insaniyat ki barbaadi hai. #EndThisMadness ??????",
grief,"Maa baap ki god mein sukun nahi, bachchon ke chehre pe muskurahat nahi. Hum kab tak yeh barbaadi dekhte rahenge? #EnoughIsEnough ??????",
empathy,"Miss World ho ya Miss Universe, sabki maa ek hai. Hum sab maa ke bachche hain. Toh bachchon ko aman do! #MothersUnite ??????",
resilience,"Hum bachpan barbaad nahi hone denge. Hum khelenge, gaayenge, aur aman ki dastan likhenge. Hum yeh kal hoga! #Unbreakable ???",
compassion,"Baccha jab rota hai, toh duniya sun leti hai. Aaj bachche ro rahe hain, sun le duniya! #HearOurCry ??????",
frustration,"Daan nahi, demand karo! Bachchon ke liye aman, bachchon ke liye khushi, yeh humara haq hai! #DemandPeaceNow ???",
frustration,"Retweet nahi, raasta jaam karo! Bachchon ko azaad karo! #FreeTheChildren ????????????",
disgust,"Missiles nahi, kitabein do! Tank nahi, khel do! Yeh bachpan ka haq hai! #GiveChildhoodBack ??????",
hopelessness,"Hum bachche hain, kal ke neta hain. Hum aman ki awaaz uthaenge, aur duniya ko badlenge. #ChangemakersOfTheFuture ???",
fear,Gaza ke dakshini ilaake mein bhay ka mahaul hai jab Israeli bombardment shuru hoti hai. ????,
frustration,"Gussa badh raha hai jab Israel-Hamas yudh badh raha hai, jisse ki civilian khatre mein hai. ????",
sadness,Dukh Gaza par chha gaya hai jab Israeli hawai hamle ka asar communities par ho raha hai. ?????,
anxiety,"Chinta badh rahi hai jari rahe yudh ke chalte, jiska asar kai logon ke mansik swasthya par ho raha hai. ????",
shame,"Sharm hai yudh ke vinash ke aas-paas, jo antarraashtreey samuday ko shanti ke liye karyavahi karne par majboor karta hai. ?????",
guilt,Gunah bhaari hai jab masoom jeevan yudh ke khatre mein hai Israel-Hamas yudh mein. ????,
hopelessness,"Nirasha gehri hoti ja rahi hai sangharsh ke dauran, jo shanti ka jaldi samadhan ki maang ko jor deta hai. ????",
hopelessness,"frustration badhti ja rahi hai jab humesha ke liye hinsa ka chakkar chalta hai, jo ek sthayi shanti ke liye rukavat banata hai. ????",
disgust,Israel-Hamas yudh ki sthiti par disgust hota hai jab bhay Gaza ko kabu kar leta hai Israeli bombardment ke beech. ????,
empathy,Dukh vataavaran ko gher leta hai jab yudh ke prabhav se logon ki bhavanaon mein asar hota hai. ????,
compassion,"Sahayog un logon ke liye jo yudh ke dauran fans gaye hain, jaldi Israel-Hamas yudh ka ant ho. ?????",
resilience,Samarpan ubhar raha hai jab samuday ek doosre ko is mushkil waqt mein sahayata kar rahe hain. ????,
grief,"Daya bhavna ab kabhi bhi zaroori hai, jo samajhdari aur samvedana ko badhava dene mein madad karti hai. ????",
hopelessness,"Ummeed hai shanti bhavna ke liye, ek bhavishya ko dekhte hue jisme yudh ke nuksan se mukt hai. ?????",
fear,"Darta hua dil dekhta hai jab yudh aur jang ka mahaul badhta hai, logon ko aspatal le jaya jata hai. ????",
anger,"Gussa is haalat par aata hai jab warring parties apne manmaane taur par aapas mein takraate hain, sab kuch tabah kar dete hain. ????",
sadness,"Dukh hota hai jab innocent log yudh ki shikaar ban jaate hain, unko aspatalon mein bhagaya jata hai. ????",
anxiety,"Chinta hoti hai ki yudh aur aatankwad ke chalte kitni zindagiyan kharaab hoti ja rahi hain, aspatalon mein bhagaya ja raha hai. ????",
anxiety,"Anxiety badh rahi hai jab har din yudh aur hinsa se ghira hua mahaul badh raha hai, logon ko aspatal pahunchaya jata hai. ????",
shame,Sharm aati hai jab dekha jata hai ki warring parties apni ladai mein masoom logon ko nuksan pahuncha rahe hain. ????,
guilt,Gunah bhaari hai jab sochta hoon ki kuch log sirf apni ladai ke liye doosron ko kaise pareshan kar rahe hain. ????,
hopelessness,Nirasha hoti hai jab samajh aata hai ki yudh aur hinsa se mukt hone ka koi raasta dikhayi nahi de raha hai. ????,
frustration,"frustration hoti hai jab warring parties sirf apni hawa mein udte hain, bina samajhaye ki asli nuksan kitna hai. ????",
disgust,"disgust hota hai jab dekhta hoon ki yudh ke naam par kaise sab kuch tabah ho raha hai, log aspatalon mein bhagaya ja rahe hain. ????",
fear,"Darta hua dil dekhta hai jab yudh aur jang ka mahaul badhta hai, logon ko aspatal le jaya jata hai. ????",
anger,"Gussa is haalat par aata hai jab warring parties apne manmaane taur par aapas mein takraate hain, sab kuch tabah kar dete hain. ????",
sadness,"Dukh hota hai jab innocent log yudh ki shikaar ban jaate hain, unko aspatalon mein bhagaya jata hai. ????",
anxiety,"Chinta hoti hai ki yudh aur aatankwad ke chalte kitni zindagiyan kharaab hoti ja rahi hain, aspatalon mein bhagaya ja raha hai. ????",
anxiety,"Anxiety badh rahi hai jab har din yudh aur hinsa se ghira hua mahaul badh raha hai, logon ko aspatal pahunchaya jata hai. ????",
shame,Sharm aati hai jab dekha jata hai ki warring parties apni ladai mein masoom logon ko nuksan pahuncha rahe hain. ????,
guilt,Gunah bhaari hai jab sochta hoon ki kuch log sirf apni ladai ke liye doosron ko kaise pareshan kar rahe hain. ????,
hopelessness,Nirasha hoti hai jab samajh aata hai ki yudh aur hinsa se mukt hone ka koi raasta dikhayi nahi de raha hai. ????,
frustration,"frustration hoti hai jab warring parties sirf apni hawa mein udte hain, bina samajhaye ki asli nuksan kitna hai. ????",
disgust,"disgust hota hai jab dekhta hoon ki yudh ke naam par kaise sab kuch tabah ho raha hai, log aspatalon mein bhagaya ja rahe hain. ????",
fear,"fear mein dooba hua hai har kona, jab aasman se aandhiyaan girti hain aur sab kuch andheron mein lipat jata hai. ?????",
anger,"anger se bhara hai har dil, jab dekhte hain kaise be-gunah logon par hamla hota hai, aankhon mein aansoon bhare hue. ????",
sadness,"sadness chhupa hai har chehre mein, jab sunte hain ki masoomon ko bhi nahi chhoda ja raha, dil mein dard hai, aankhon mein aansoon hain. ????",
anxiety,"anxiety gherta hai har kadam, jab sochte hain ki kal ko kaise dekha jayega, aur kis tarah se bacha ja sakta hai yeh bhayankar sangharsh. ????",
shame,"shame mehsoos hoti hai jab hum sochte hain ki insaniyat kahan kho gayi hai, jab log apne hi bhaiyon ko maarte hain. ????",
guilt,"guilt ka bojh hai har ek dil par, jab samajhte hain ki humne kuch nahi kiya, sab dekhte hain par khamosh rehte hain. ????",
hopelessness,"hopelessness ka mahaul hai, jab lagta hai ki koi bhi samadhan nahi hai, aur bas ek andhera hai, ek aasmani toofan hai. ????",
frustration,"frustration hai har shabd mein, jab dekhte hain ki sab kuch nasht ho raha hai, koi bhi faisla nahi ho raha hai. ????",
disgust,"disgust hota hai jab hum dekhte hain ki insaan kitna gir gaya hai, kis tarah se zulm ho raha hai, yeh dekh kar sir ghoom jaata hai. ????",
grief,"grief ka bojh hai har kandhe par, jab sunte hain ki masoomon ka khoon ho raha hai, dil toh bas rota hai, aankhon se bahatarin. ????",
empathy,"empathy se bhari hui hai har dastaan, jab sunte hain ki log kaise tadap rahe hain, unki kahani mein hum bhi apna dukh mehsoos karte hain. ????",
resilience,"resilience ka parvah nahi karte ab, kyunki har kona mein asha ke sthal par, sirf toofan hi toofan dikhai deta hai. ?????",
compassion,"compassion ka izhaar hai humara farz, ab kyun na ek doosre ka haath thaam kar milke, insaniyat ko bachayein, ek saath. ????",
hope,"hope ka ek tinka bhi nahi bacha, jab andhera chha gaya hai, lekin humein apni aankhon mein ek chingari banaye rakhni chahiye, kyun ki har andhera ke baad ek naya savera hota hai. ?????",
gratitude,"gratitude ka ehsaas hai humare dil mein, humein shukriya ada karna chahiye un veer jawanon ka, jo apni jaan dekar hamare suraksha mein lage hain. ????",
fear,"fear ka saya hai har kisi par, jab raat ko sirens chalte hain aur darr ka ehsaas hota hai ki kya hoga ab. ????",
anger,"anger ka jazba hai, jab sochte hain ki yeh kyun ho raha hai, kyunki insaaniyat ka dushmani kaunsa masla suljha sakta hai? ????",
sadness,"sadness ka aalam hai, jab har kisi ke chehre par asuon ka dastaan hai, har kona bhara pada hai in dukh bhari lamhon se. ????",
anxiety,"anxiety se bhara hai har dil, jab sunte hain ki logon ki zindagiyan khatre mein hain, kyun na ho kuch toofani bayaan ho. ????",
shame,"shame hoti hai jab dekhte hain ki kis tarah se insaan apne hi bhaiyon ko kyun maar raha hai, dil mein ek ajib sa dard hai. ????",
guilt,"guilt ka bhoj hai har kandhe par, jab sochte hain ki kya humne kuch zyada nahi kiya, kyunki khamosh rehna bhi ek gunah hai. ????",
hopelessness,"hopelessness ka mahaul hai, jab sab kuch khatam ho raha hai, lekin humein khud ko sambhal kar dikhaana hoga, kyun ki asha kabhi nahi marte. ????",
frustration,"frustration se bhara hai har ek shabd, jab takleef hoti hai, lekin koi faisla nahi hota, kyunki sab aise hain jaise kuch ho hi nahi sakta. ???????",
disgust,"disgust mehsoos hota hai jab dekhte hain ki insaan kitna gir gaya hai, aur insaniyat kahan kho gayi hai, yeh soch kar dil se aaye hai. ????",
grief,"grief hai har chehre par likha, jab dekhte hain ki bacchon ki zindagiyan bigad rahi hain, aur hum kuch nahi kar sakte. ????",
empathy,"empathy ka izhaar karna humara farz hai, jab hum apne bhaiyon aur behnon ke dukh ko mehsoos karte hain, unke saath khade rehna. ????",
resilience,"resilience se bhara hua hai har dil, kyunki insaan ko dobara uthna sikhna chahiye, har mushkil ka samna karna padta hai. ????",
compassion,"compassion ka ehsaas hai humare dil mein, ab humein ek doosre ki madad karni chahiye, ek doosre ka saath dena chahiye. ????",
hope,"hope ka sahara hai humare dil mein, jab bhi sab kuch andheron mein lipat jata hai, ek nayi subah humein ek nayi ummeed deti hai. ?????",
gratitude,"gratitude ka izhaar karte hain hum, un veer jawanon ke liye jo apni jaan dekar hamare liye lad rahe hain, unki shukriya adaa karte hain. ????",
fear,"fear ka saya hai, jab har ek bomb girta hai aur sheher mein panic ka mahaul bana rehta hai. Log ghabraye hain, apni jaan ki chinta mein hain. ????",
anger,"anger ki lehar hai, jab sochte hain ki kyun yeh hinsa ho rahi hai? Kya milta hai iss junoon se? Gussa is haalat ka ek izhaar hai. ????",
sadness,"sadness ka aalam hai, jab dekhte hain ki log apne ghar aur apno ko kho rahe hain, dil behak jata hai, aur aankhon mein aansu chhalak jaate hain. ????",
anxiety,"anxiety ka mahaul hai, har kisi ki saans rukne ka khatra hai, jab bomb girte hain, aur log apni suraksha ke liye bhaagte hain. ???????",
shame,shame hoti hai jab dekhte hain ki insaan apne hi bhaiyon ko kyun maar raha hai. Yeh junoon kya sikha raha hai? ????,
guilt,"guilt ka bhoj hai, jab hum sochte hain ki kya humne kuch zyada nahi kiya? Kya hamara khamosh rehna ek gunah hai? ????",
hopelessness,"hopelessness ka mahaul hai, jab sab kuch andheron mein lipat jata hai. Koi roshni nahi dikh rahi, bas ek bebas mehsoos hota hai. ????",
frustration,"frustration se bhara hai har kona, jab bomb girte hain aur log apni zindagi ke liye dar se jee rahe hain. ????",
disgust,"disgust mehsoos hota hai jab dekhte hain ki insaan kitna gir gaya hai, aur insaniyat kahan kho gayi hai. ????",
grief,"grief hai har chehre par likha, jab dekhte hain ki bacchon ki zindagiyan barbaad ho rahi hain, aur hum kuch nahi kar sakte. ????",
fear,"fear mein dooba hai dil, jab sochta hoon ki yeh jung phir shuru ho gayi hai. Kya hoga is bar? ????",
anger,"anger ki lehar hai, jab dekhta hoon ki dono taraf se phir se hinsa ka aghaz hua hai. Gussa is halat ko dekh kar hai. ????",
sadness,"sadness chha gayi hai har kona, jab suna ki jung dobara shuru ho gayi hai. Dil ko takleef hai, insaniyat kyun bhool jaati hai? ????",
anxiety,"anxiety ka mahaul hai, jab samajh aata hai ki shanti aur aman ka sapna phir door ho gaya hai. ????",
shame,"shame hoti hai, jab sochta hoon ki insaan kyun nahi samajhta ki hinsa se kuch hasil nahi hota. ???????",
guilt,"guilt mehsoos hota hai, kyun ki humara kuch nahi kar paana ek ehsaas hai. Kya humne kuch aur nahi kar sakte the? ????",
hopelessness,"hopelessness ka ehsaas hai, jab dekhta hoon ki aman ko lekar kiye gaye prayas phir se adhura reh gaya hai. ????",
frustration,"frustration se bhari hai yeh khabar, jab dekhta hoon ki insaan kyun nahi seekh raha. Kitni baar samjhaaya jaaye, samajh nahi aata. ???????",
disgust,"disgust hota hai, jab dekhta hoon ki khoon ka khel phir se shuru ho gaya hai. Yeh kaisa insaaniyat ka rang hai? ????",
grief,"grief mehsoos hota hai, jab sunta hoon ki log phir se apne apnon ko kho rahe hain. Dil ko chhoo jata hai yeh dukh. ????",
empathy,"empathy ka izhaar hai, jab dil se mehsoos hota hai ki doosron ki takleef kya hoti hai. Aman chahiye, nafrat nahi. ????",
resilience,"resilience ka jazba hai, jab sochta hoon ki humein phir se khada hona hoga, inspite of all the challenges. ????",
compassion,"compassion ka ehsaas hai, jab samajh aata hai ki dard ka ehsaas karna hi insaniyat hai. Aman bhejne ka waqt hai. ????",
hope,"hope ka paighaam hai, jab samajh aata hai ki humein phir se ek doosre ke saath milke aman aur shanti ka maidaan banana hoga. ????",
fear,"fear mein dooba hai dil, jab sochta hoon ki yeh jung phir shuru ho gayi hai. Kya hoga is bar? ????",
anger,"anger ki lehar hai, jab dekhta hoon ki dono taraf se phir se hinsa ka aghaz hua hai. Gussa is halat ko dekh kar hai. ????",
sadness,"sadness chha gayi hai har kona, jab suna ki jung dobara shuru ho gayi hai. Dil ko takleef hai, insaniyat kyun bhool jaati hai? ????",
anxiety,"anxiety ka mahaul hai, jab samajh aata hai ki shanti aur aman ka sapna phir door ho gaya hai. ????",
shame,"shame hoti hai, jab sochta hoon ki insaan kyun nahi samajhta ki hinsa se kuch hasil nahi hota. ???????",
guilt,"guilt mehsoos hota hai, kyun ki humara kuch nahi kar paana ek ehsaas hai. Kya humne kuch aur nahi kar sakte the? ??",
empathy,"empathy humara farz hai, bachchon ke dard ko mehsoos karna. Humari duaayein hamesha unke saath hain. ????",
resilience,"resilience ka jazba hai, bachchon ko phir se khada karna, unhein nayi zindagi dikhana. Yeh himmat humein sikhata hai. ????",
compassion,"compassion dikhana humara kaam hai, bachchon ko pyaar aur madad dena. Saath milke inko sahara dena humara maksad hai. ????",
hope,"hope hai, ki ek din bachchon ko aman aur sukoon milega. Yeh yudh unke liye nahi, hum sabko milke badalna hoga. ????",
gratitude,"gratitude hai, un veer jawano aur sewakon ke liye jo bachchon ki madad mein lage hain. Unki mehnat ko salaam hai. ????",
fear,"fear hota hai, sochta hoon ki kya hoga bachchon ka bhavishya. Humare prati unke dard ka ehsaas hona chahiye. ????",
anger,"anger hota hai, jab dekhta hoon ki bachchon ki masoomiyat par yeh khatra hai. Gussa aata hai, kyun yeh sab ho raha hai? ????",
sadness,"sadness hoti hai, jab sunta hoon ki bachche apne sapno ko khota ja rahe hain. Inke liye dil rota hai. ????",
anxiety,"anxiety ka mahaul hai, jab sochta hoon ki bachchon ko kaise protect karenge. Inki hifazati zarurat hai. ????",
compassion,"compassion dikhana humara farz hai, bachchon ki madad mein humein aage badhna hoga. Unke liye kuch karna humara moral responsibility hai. ????",
fear,"fear hai dil mein, sochta hoon bachchon ke liye jo is yudh ka shikar hain. Kaise nibhayenge yeh anjaam? ????",
anger,"anger hota hai, jab dekhta hoon ki bachchon ko is tarah ki zindagi jeevana pad raha hai. Gussa aata hai, kyun humein itna bardasht karna pad raha hai? ????",
sadness,"sadness chha gayi hai, jab sunta hoon ki bachche apne sapno se door hain, sirf yudh ki wajah se. Dil ko bahut takleef hoti hai. ????",
anxiety,"anxiety ka mahaul hai, jab sochta hoon ki bachchon ki zindagi kitni uljhanon se bhari hai. Kaise hoga inka bhavishya? ????",
shame,"shame hoti hai, jab samajh aata hai ki humari duniya bachchon ke liye kitni kharaab bani hui hai. Aur yeh soch kar dil ko bhaari ho jaata hai. ????",
guilt,"guilt mehsoos hota hai, kyun ki hum bachchon ko unke adhikaar se vaanchit kar rahe hain. Kaise sahenge yeh zimmedari? ????",
hopelessness,"hopelessness ka ehsaas hai, jab dekhta hoon ki bachche is sangharsh ka shikaar hain. Kaise badlega yeh manzar? ????",
frustration,"frustration hai, jab sochta hoon ki bachchon ko shaanti se bharpoor zindagi nahi milti. Gussa aata hai, kyun yeh ho raha hai? ????",
disgust,"disgust hota hai, jab dekhta hoon ki bachchon ko yudh ka shikaar bana diya gaya hai. Kaise hum itna barabar gir sakte hain? ????",
grief,"grief mehsoos hota hai, jab sunta hoon ki bachchon ko khona pad raha hai. Inke liye dua karte hain, ki unko aman mile. ????",
empathy,"empathy aur pyaar un sabhi logon ke liye hai, jo is yudh mein apnon ko khota ja rahe hain. Unke dard ko mehsoos karte hain. ????",
grief,"grief ka izhaar karna humara farz hai, jo apne sapnon aur zindagi se alag ho gaye hain. Unke parivaaron ko humara saath chahiye. ?????",
compassion,"compassion se bhari duaayein, jo iss yudh mein apne pyaare bachchon ko khota ja rahe hain. Unke liye humara dil rota hai. ????",
sadness,"love ka izhaar karna hai, un anjaanon ke liye jo humare bich yudh ki shikaar hue hain. Hum unhein pyaar se yaad karenge. ????",
sadness,"sadness hai, jab yaad aata hai ki kitne logon ki zindagiyaan is yudh mein chhin gayi hain. Yeh dukh hum sab ko milke sahaarega. ????",
hopelessness,"hopelessness ka mahaul hai, lekin humein ummeed hai ki ek din aman hoga aur yeh yudh khatam hoga. Aise lamhe mein hum sab saath hain. ?????",
resilience,"resilience aur himmat dikhana humara maksad hai, un logon ke liye jo is musibat se bahar nikalna chahte hain. ????",
anxiety,"anxiety ka ehsaas hota hai, jab sochte hain ki bachchon ki zindagiyaan is yudh mein kyun ja rahi hain. Inke liye humare dil mein dard hai. ????",
anger,"anger hota hai, jab samajhta hoon ki kyun itni masoomiyat is yudh mein shikaar ho rahi hai. Gussa aata hai, yeh sab kyun ho raha hai? ????",
empathy,"empathy aur pyaar bhejte hain, taaki un atyant dukhi parivaaron ko thoda sa sukoon mile. Humare saath hai aapke dard mein. ????",
compassion,"compassion aur prem ke saath, hum apne pyaare bachchon ko yaad karte hain, jinhonne is yudh mein apni masoomiyat kho di. ????",
hope,"hope hai ki hum sab ek din ek behtar duniya mein jeenenge, jahaan yudh aur hinsa nahi honge, sirf pyaar aur aman hoga. ????",
grief,"grief ka ehsaas hai, jab hum sochte hain ki kitne sapne adhoore reh gaye hain. Un sapnon ko yaad karke hum aage badhenge. ????",
sadness,"support aur sahayata humein aapas mein bandhne ka ek zariya hai, un logon ke liye jo is yudh mein sab kuch khota ja rahe hain. ?????",
hope,"unity mein hi humari taqat hai, hum sab ek dusre ke saath hai, har dukh ko sahne ke liye taiyaar. ????",
grief,"sorrow ka bojh hum sab ek saath utha rahe hain, kyunki yeh tabaahi ne humein sabko chhuna sikha diya hai. ?????",
