Emotion,Tweet,,,,,,,,,,,,,,,,
fear,Yuddha ke haalaat se bahut dar lag raha hai.,,,,,,,,,,,,,,,,
fear,Is yuddha mein itne saare maasumon ki jaan kyon jaa rahi hai?,,,,,,,,,,,,,,,,
anger,Is yuddha mein hui hinsa aur atyachaaron se mujhe gussa aa raha hai.,,,,,,,,,,,,,,,,
anger,"Yuddha karenge, haar nahin maanege!",,,,,,,,,,,,,,,,
sadness,Yuddha ke karan ghar-baar se beghar hue logon ka haal dekhkar bahut dukh hota hai.,,,,,,,,,,,,,,,,
sadness,"Is yuddha mein itne saare logon ki jaan chali gayi, mujhe bahut gham hai.",,,,,,,,,,,,,,,,
anxiety,"Yuddha kab khatam hoga, yeh chinta har samay satati rahti hai.",,,,,,,,,,,,,,,,
anxiety,"Is yuddha ka kya anjaam hoga, yeh tension bohot hai.",,,,,,,,,,,,,,,,
shame,Is yuddha mein hui hinsa aur atyachaaron ke liye mujhe sharm aati hai.,,,,,,,,,,,,,,,,
shame,"Yuddha mein logon ki jaan jaati hai, yeh baat sochkar sharm aati hai.",,,,,,,,,,,,,,,,
guilt,Yuddha ke karan apne desh ke liye kuch na kar paane ka gunaah mujhe hamesha khaayega????.,,,,,,,,,,,,,,,,
guilt,"Is yuddha ko rokna mera farz tha, par main kuch nahi kar paa, yeh baat mujhe hamesha guilt deg????i.",,,,,,,,,,,,,,,,
hopelessness,"Is yuddha ke khatam hone ki koi umeed nahi dikhti, isliye niraasha ho rahi hai???????????????.",,,,,,,,,,,,,,,,
hopelessness,"Is yuddha ka koi à¤…à¤‚à¤¤ nahi dikhta, yeh baat sochkar niraasha ho jaati hai.?????????????????",,,,,,,,,,,,,,,,
frustration,Is yuddha mein hui tabahi aur barbaadi ko dekhkar bahut khijh aati hai.,,,,,,,,,,,,,,,,
frustration,Yuddha ka ye khatam na hone wala silsila mujhe bahut khafa karta hai.,,,,,,,,,,,,,,,,
disgust,Yuddha mein hui kroorta aur amanaveeyata se mujhe ghin aati hai: ????.,,,,,,,,,,,,,,,,
disgust,"Yuddha mein logon ki jaan jaati hai aur unki beemar aur parivar barbaad ho jaate hain, yeh baat sochkar ghin aati hai: ????.",,,,,,,,,,,,,,,,
grief,Apnon ko khone ka gam sahan karna bahut mushkil hai????????.,,,,,,,,,,,,,,,,
grief,"Is yuddha mein itne saare logon ki jaan chali gayi, unke parivaaron ka gham kya hota hoga, yeh sochkar dukh hota hai ????????.",,,,,,,,,,,,,,,,
empathy,Yuddha ke karan peedit logon ke prati sahaanubhuti rakhta hoon????????.,,,,,,,,,,,,,,,,
empathy,Is yuddha mein peedit logon ki madad karna mera farz hai????.,,,,,,,,,,,,,,,,
resilience,Is mushkil samay mein bhi haar nahi manunga aur har chunauti ka saamna karoonga.,,,,,,,,,,,,,,,,
resilience,"Yuddha ke karan logon ki jaan jaati hai, par desh ki raksha karna hamara farz hai????????????.",,,,,,,,,,,,,,,,
compassion,Yuddha ke karan peedit logon ki madad ke liye har sambhav koshish karoonga.,,,,,,,,,,,,,,,,
compassion,Is yuddha mein peedit logon ki madad karna hamara insaaniyat hai.,,,,,,,,,,,,,,,,
hope,"Yuddha khatam hoga aur shaanti bahal hogi, is umeed se jee rahaa hoon.??????????????????",,,,,,,,,,,,,,,,
hope,Is yuddha ka ek din ant hoga aur desh mein shaanti aa jaayegi????.,,,,,,,,,,,,,,,,
gratitude,Yuddha ke karan apne desh ke liye kuch na kar paane ka gunaah mujhe hamesha khaayega????.,,,,,,,,,,,,,,,,
gratitude,Yuddha ke karan apne desh ke liye kuch na kar paane ka gunaah mujhe hamesha khaayega.,,,,,,,,,,,,,,,,
fear,FIs yudh mein itne saare masoomon ki jaan kyun ja rahi hai? Darr ka mahaul hai.,,,,,,,,,,,,,,,,
fear,Is yudh mein itne saare masoomon ki jaan kyun ja rahi hai? Darr ka mahaul hai. StopTheWar PrayForPeace,,,,,,,,,,,,,,,,
anger,"Is yudh ki hinsa aur atyachar se mujhe gussa aata hai. Ladenge, haar nahin maanenge! NeverBackDown AgainstInjustice",,,,,,,,,,,,,,,,
sadness,Yudh se ghar se beghar hokar logon ka dukh dekhkar dil bahut dukhta hai. WarTfearsApart HumanityCries,,,,,,,,,,,,,,,,
anxiety,"Is yudh ka kab khatam hoga, yeh sochkar chinta hoti hai. AnxiousThoughts EndTheConflict",,,,,,,,,,,,,,,,
shame,Is yudh mein hui hinsa aur atyachar ke liye mujhe sharm aati hai. Sudharne ki zarurat hai. shamefulWar ReflectAndChange,,,,,,,,,,,,,,,,
guilt,Is yudh ke karan desh ke liye kuch nahi kar paane ka gunaah mujhe hamesha khaata hai. guiltTrip WishICouldHelp,,,,,,,,,,,,,,,,
anxiety,"Har samay yeh sochkar ki yudh kab khatam hoga, hamare dimaag mein ek chinta si bani rahti hai. ??",,,,,,,,,,,,,,,,
gratitude,"In the midst of conflict, expressing gratitude for those advocating peace becomes even more crucial. ??",,,,,,,,,,,,,,,,
fear,The fear of environmental degradation due to war haunts us. The scars on nature are too heavy to bfear. ??,,,,,,,,,,,,,,,,
fear,The increasing threat to public safety as war drums beat fills our hfearts with fear. Innocent lives stand on the edge. ??,,,,,,,,,,,,,,,,
anger,"The anger towards those who neglect public safety during war is justified. Lives are at stake, and it's infuriating. ??",,,,,,,,,,,,,,,,
anger,The violence and atrocities in war fuel my anger. We must stand against injustice and fight for a peaceful world. ??,,,,,,,,,,,,,,,,
sadness,Witnessing the environmental consequences of war brings deep sadness. Nature's beauty tarnished leaves a profound ache. ??,,,,,,,,,,,,,,,,
sadness,The sorrow of neglecting public safety during war is a stain on society. Lives lost and order breakdown weigh heavy. ??,,,,,,,,,,,,,,,,
anxiety,The uncertainty of economic stability during war adds to our collective anxiety. Financial losses loom large. ??,,,,,,,,,,,,,,,,
anxiety,anxiety grips us as we ponder over the uncertain economic aftermath of war. The financial toll is a significant concern. ??,,,,,,,,,,,,,,,,
shame,"Neglecting public safety during war brings a deep sense of shame. Lives are at stake, and this negligence is disgraceful. ??",,,,,,,,,,,,,,,,
shame,The violence and atrocities in war bring shame. It's time for fear and change to build a more humane society. ?????,,,,,,,,,,,,,,,,
guilt,The guilt of not being able to do more for our country during war is a burden that will linger. We all wish we could do more. ??,,,,,,,,,,,,,,,,
guilt,The guilt of not being able to stop this war weighs heavy. It's a constant reminder of our collective responsibility. ??,,,,,,,,,,,,,,,,
hopelessness,"The hopelessness in the face of war's devastation is profound. It seems like there's no end in sight, leaving us despondent. ??",,,,,,,,,,,,,,,,
hopelessness,The never-ending cycle of war creates a sense of hopelessness. The world needs a collective effort for a lasting solution. ??,,,,,,,,,,,,,,,,
sadness,Yudh ke asar ka dukh humare dil mein bana rehta hai jab hum jeevan ki haani aur jagahon ki tabahi ka shok manaate hain. ?? sadness WarTfearsApart,,,,,,,,,,,,,,,,
