Timestamp,Cluster,Hash Tag related to World war 
04-07-2023 12:44,Causes,Nationalism
04-07-2023 12:45,Countries Involved,USA 
04-07-2023 12:45,Leaders,Hitler 
04-07-2023 12:45,Weapons & Technology,Tanks
04-07-2023 12:45,Weapons & Technology,Drones 
04-07-2023 12:46,Weapons & Technology,B52 bomber 
04-07-2023 12:46,Aftermath,ColdWar
04-07-2023 12:46,Aftermath ,Economic Depression 
04-10-2023 10:10,Countries Involved,Germany
04-10-2023 10:10,Countries Involved,Japan
04-10-2023 10:11,Countries Involved,Italy
04-10-2023 10:11,Countries Involved,France
04-10-2023 10:12,Countries Involved,UK
04-10-2023 10:12,Countries Involved,Russia
04-10-2023 10:12,Countries Involved,China
04-10-2023 10:14,Causes,Imperialism
04-10-2023 10:15,Causes,Alliance System
04-10-2023 10:15,Causes,Militarism
04-10-2023 10:15,Causes,Assassination
04-10-2023 10:16,Leaders,Mussolini
04-10-2023 10:16,Leaders,Stalin
04-10-2023 10:17,Leaders,Churchill
04-10-2023 10:17,Leaders,Roosevelt
04-10-2023 10:18,Leaders,Hirohito
04-10-2023 10:19,Weapons & Technology,FighterPlanes
04-10-2023 10:20,Weapons & Technology,Bombers
04-10-2023 10:20,Weapons & Technology,Submarines
04-10-2023 10:21,Weapons & Technology,Machine Guns
04-10-2023 10:21,Weapons & Technology,AtomicBomb
04-10-2023 10:23,Major Battles,BattleofStalingrad
04-10-2023 10:35,Major Battles,DDay
04-10-2023 10:36,Major Battles,BattleofBritain
04-10-2023 10:36,Major Battles,PearlHarbor
04-10-2023 10:37,Major Battles,BattleofNormandy
04-10-2023 10:38,Aftermath,NurembergTrials
04-10-2023 10:39,Aftermath,IronCurtain
04-10-2023 10:39,Aftermath,BerlinWall
04-10-2023 10:40,Aftermath,Occupation
04-10-2023 10:40,Aftermath,MarshallPlan
04-10-2023 16:05,Afrermath,Economic impacts
04-11-2023 09:34,Major Battles,nuclear war
04-11-2023 09:36,Weapons & Technology,military alliance
04-11-2023 09:36,Aftermath,political tension
04-11-2023 09:52,Causes,History of World War I and World War II
04-11-2023 09:53,Causes,territorial disputes
04-11-2023 09:54,Causes,Geopolitical struggles
04-11-2023 09:56,Causes,"NATO, the North Atlantic Treaty Organization"
04-11-2023 10:05,Weapons & Technology,cyber weapons
04-11-2023 10:06,Countries Involved,various European powers.
04-11-2023 10:05,Weapons & Technology,artificial intelligence systems.
04-11-2023 10:08,Homefront,civil defence measures
04-11-2023 10:11,Weapons & Technology,Space Weapons:
04-11-2023 10:11,Weapons & Technology,Biological Weapons
04-11-2023 10:11,Homefront,Drafts
04-11-2023 10:12,Homefront,Evacuations
04-11-2023 10:41,Causes,combat
04-11-2023 10:48,Weapons & Technology,strategy
04-11-2023 10:50,Causes, rise of authoritarian regimes in Europe
04-11-2023 10:50,Causes,failure of diplomacy
04-11-2023 10:51,Weapons & Technology,radar
04-11-2023 10:51,Weapons & Technology, sonar
04-11-2023 10:52,Causes,rise of authoritarian regimes
04-11-2023 10:58,Homefront,Women's Army Corps 
04-11-2023 10:58,Homefront,Women's Airforce Service Pilots
04-11-2023 10:59,Homefront,Rosie the Riveter
04-11-2023 11:00,Homefront,Essential Goods
04-11-2023 11:16,Causes,"Political, Economic, and Social Consequences"
04-12-2023 10:44,WWImpact, inflation pressures
04-12-2023 10:47,WWImpact,armed conflicts
04-12-2023 10:49,WWImpact, Reduction of GDP
04-12-2023 11:11,WWImpact,Financial Panic & Stock Market Closed Down
04-12-2023 11:12,WWImpact,Gold’s Price Rise
04-12-2023 11:13,WWImpact,Insurance Losses
04-12-2023 11:13,WWImpact,compensation 
04-12-2023 11:16,WWImpact,Geopolitical Tension
04-12-2023 11:18,WWImpact,living standards
04-12-2023 11:20,WWImpact,The Death Of Money
4/14/2023 10:29:55,International relations,Diplomacy
4/14/2023 10:30:16,International relations,Globalization
4/14/2023 10:30:37,International relations,Foreign Policy
4/14/2023 10:30:58,International relations,International Organizations
4/14/2023 10:31:38,International relations,History
4/14/2023 10:40:03,International relations,relationship through negotiations and discussions
4/14/2023 10:41:11,International relations,Cooperation on a Global Scale
4/14/2023 10:55:26,Military strategy.,Tactics
4/14/2023 10:55:43,Military strategy.,Strategy
4/14/2023 10:55:59,Military strategy.,Logistics
4/14/2023 10:56:57,Military strategy.,Offensive Strategy
4/14/2023 10:58:15,Military strategy.,Defensive Strategy
4/14/2023 10:58:33,Military strategy.,Guerrilla Warfare
4/14/2023 10:58:59,Military strategy.,Naval Warfare
4/14/2023 10:59:20,Military strategy.,Military Intelligence
4/14/2023 10:59:38,Military strategy.,Planning
4/14/2023 10:59:57,Military strategy.,Risk Assessment
4/14/2023 11:00:20,Military strategy.,Resource Management
4/14/2023 11:01:09,Military strategy.,deception tactics
4/14/2023 11:01:29,Military strategy.,flanking tactics
4/14/2023 11:05:24,WorldWar,battlefield
4/14/2023 11:05:43,WorldWar,combat
4/14/2023 11:06:00,WorldWar,casualties
4/14/2023 11:06:15,WorldWar,deployment
4/14/2023 11:06:33,WorldWar,strategy
4/14/2023 11:06:54,WorldWar,tactics
4/14/2023 11:07:13,WorldWar,weapons
4/14/2023 11:07:30,WorldWar,troop
4/14/2023 11:07:54,WorldWar,mission
4/14/2023 11:08:26,WorldWar,Enemy
4/14/2023 11:08:41,WorldWar,Victory
4/14/2023 11:37:34,Genocide,Violence
4/14/2023 11:38:09,Genocide,torture
4/14/2023 11:38:43,Genocide,Discrimination
4/14/2023 11:39:05,Genocide,Ethnicity
4/14/2023 11:40:09,Genocide,killing
4/14/2023 11:41:10,Genocide,forced sterilization
4/14/2023 11:41:34,Genocide,Holocaust
4/14/2023 11:42:02,Genocide,The Rwandan Genocide
4/14/2023 11:44:43,Genocide,Political instability
4/14/2023 11:45:42,Genocide,religious
4/14/2023 12:09:01,Geography, topography
4/14/2023 12:09:21,Geography,terrain
4/14/2023 12:09:46,Geography,landscape
4/14/2023 12:11:02,Trenches,Underground Battlefields
4/14/2023 12:11:36,Trenches,safe space
4/14/2023 12:11:59,Trenches,Topography
4/14/2023 12:13:01,Trenches,mountains
4/14/2023 12:13:19,Trenches,valleys
4/14/2023 12:13:36,Trenches,rivers
4/14/2023 12:16:25,Armistice,formal  agreement
4/14/2023 12:18:37,Armistice,Truce:
4/14/2023 12:19:21,Armistice,Peace treaty
4/14/2023 12:19:35,Armistice,Ceasefire
4/14/2023 12:19:55,Armistice,Diplomacy
4/14/2023 12:20:23,Armistice,Surrender
4/14/2023 12:20:39,Armistice,Post-war period
4/14/2023 15:04:21,Homefront,Blackouts
4/14/2023 15:05:20,Homefront,War bonds
4/14/2023 15:05:40,Homefront,Civil defense
4/14/2023 15:07:29,Homefront,Price controls
4/14/2023 15:07:59,Homefront,Housing shortage
4/14/2023 15:59:55,Weapons & Technology,firearms
4/14/2023 16:00:20,Weapons & Technology, intercontinental ballistic missiles
4/14/2023 16:02:24,Weapons & Technology,Vehicle weapons
4/14/2023 16:02:47,Weapons & Technology,Naval weapons
4/14/2023 16:03:09,Weapons & Technology,Autonomous weapons
4/14/2023 16:03:49,Weapons & Technology,Anti-aircraft 
4/14/2023 16:04:15,Weapons & Technology,Anti-ship weapons
4/14/2023 16:05:16,Weapons & Technology,Ocean dumping
4/14/2023 16:06:13,Weapons & Technology,Anti-aircraft
4/14/2023 16:06:39,Weapons & Technology,Ranged weapons 
4/14/2023 16:07:48,Weapons & Technology,Mountain weapons
4/17/2023 12:34:58,civilwar,War of the Rebellion
4/17/2023 12:37:46,Syria,President Bashar al-Assad
4/17/2023 13:04:03,refugees,Immigration
4/17/2023 13:04:31,refugees,Asylum seekers
4/17/2023 13:04:49,refugees,Humanitarian aid
4/17/2023 13:07:01,humanitariancrisis,disaster or conflict
